"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
375	0.93416	0.94059	0.91833	0.91649	0.93464	0.92619	0.92507	0.92928	0.94182	0.9447	0.92428	0.92481	0.92541	0.92772	0.92655	0.93126	0.92252	0.93462	0.93284	0.93734	0.91289	0.93401	0.92608	0.93516	0.92181	0.93433	0.94096	0.93138	0.91655	0.92084	0.92757	0.92499	0.94356	0.93633	0.93794	0.93315	0.94053	0.93017	0.92166	0.93181	0.94016	0.94527	0.92847	0.9377	0.93802	0.92768
390	0.92661	0.93124	0.91598	0.91751	0.92595	0.91077	0.91915	0.92783	0.93381	0.93908	0.91206	0.92147	0.92263	0.92491	0.9175	0.93487	0.92065	0.92842	0.92134	0.9258	0.90227	0.92827	0.91895	0.92933	0.9174	0.92213	0.93841	0.92408	0.91657	0.91451	0.92084	0.91201	0.92947	0.92819	0.92999	0.92808	0.93141	0.92004	0.91575	0.92588	0.93719	0.92874	0.92749	0.93467	0.9272	0.92154
405	0.93046	0.93205	0.92683	0.92801	0.93353	0.91987	0.9252	0.93265	0.94323	0.94565	0.91966	0.92417	0.92668	0.92968	0.92188	0.94274	0.93448	0.93152	0.92345	0.93031	0.90632	0.92396	0.9226	0.93	0.91926	0.92915	0.94798	0.93195	0.92504	0.92313	0.9323	0.91301	0.93674	0.93346	0.93088	0.93234	0.93509	0.92201	0.92139	0.93149	0.93565	0.92786	0.93414	0.93813	0.93564	0.92268
420	0.94531	0.94607	0.94787	0.94948	0.94101	0.94178	0.94322	0.94715	0.95925	0.95719	0.93743	0.9444	0.94115	0.93941	0.93761	0.95962	0.95523	0.94612	0.93602	0.93927	0.92312	0.92935	0.9402	0.94382	0.92937	0.94313	0.95713	0.95021	0.948	0.94057	0.94732	0.92894	0.94742	0.95031	0.95303	0.94765	0.95135	0.93331	0.93824	0.94817	0.94552	0.94296	0.94988	0.95831	0.95719	0.94083
435	0.96649	0.96433	0.97822	0.97585	0.95956	0.96575	0.96528	0.9668	0.97881	0.97635	0.95681	0.96341	0.96053	0.96276	0.95971	0.97927	0.9743	0.97014	0.95445	0.96345	0.94777	0.94846	0.95862	0.96554	0.95387	0.96655	0.96842	0.97258	0.97357	0.96666	0.97434	0.95374	0.97214	0.96624	0.97317	0.96924	0.97355	0.95977	0.96137	0.96767	0.9571	0.96971	0.96717	0.97207	0.97533	0.95915
450	0.98733	0.98455	1.00663	0.99845	0.97984	0.98819	0.98795	0.98315	0.99567	0.99966	0.97962	0.98354	0.98059	0.98428	0.98337	0.9881	0.99212	0.98975	0.97737	0.98179	0.97296	0.96389	0.97463	0.97879	0.9764	0.98516	0.98765	0.99763	0.99289	0.98437	0.99537	0.97493	0.99324	0.98233	0.99808	0.99173	0.99237	0.98533	0.9848	0.98621	0.97969	0.98851	0.99374	0.99583	0.9968	0.98433
465	1.00627	1.0041	1.02127	1.01521	1.0036	1.01568	1	0.99511	1.00554	1.01253	1.00134	0.99465	0.99637	1.00992	0.99763	0.99823	1.00376	1.00607	0.99745	0.99698	0.9939	0.97921	0.98998	0.99585	0.99024	1.00246	1.01027	1.01413	1.00484	1.00231	1.01066	0.99582	1.00892	0.99474	1.01253	1.00849	1.00805	1.00377	1.00208	0.99887	0.98998	1.00723	1.00545	0.999	1.01263	1.00593
480	1.01474	1.006	1.02115	1.02503	1.01264	1.0243	1.0047	1.00388	1.00834	1.01954	1.00416	0.99812	1.00149	1.01577	1.00494	1.00032	1.0054	1.01161	1.01104	1.00649	1.00265	0.99007	0.99789	0.99742	1.00655	1.00735	1.01022	1.01773	1.01258	1.00842	1.0119	1.01303	1.01902	1.00306	1.01634	1.01954	1.01513	1.01273	1.01331	1.0049	0.99296	1.01162	1.01197	1.00065	1.02451	1.0169
495	1.00952	1.00223	1.01063	1.01229	1.00598	1.01795	0.99911	1.00307	0.99802	1.01138	1.00253	0.99368	0.99415	1.01131	1.0012	0.99366	0.99428	1.00255	1.01015	1.00742	0.9968	0.98919	0.99411	0.99353	1.00783	1.00339	1.00808	1.01324	1.00454	1.00353	1.00471	1.00943	1.01505	0.99906	1.01185	1.01584	1.00899	1.00696	1.00386	1.00436	0.98673	1.01158	1.00552	0.9982	1.01839	1.01831
510	1.00245	0.99313	0.99506	0.98781	0.99301	1.00059	0.98577	0.9926	0.98218	0.9957	0.98867	0.98995	0.98354	1.00089	0.98804	0.9776	0.98253	0.9862	1.00281	0.99431	0.98841	0.97862	0.9835	0.98366	0.99936	0.98614	0.99775	0.99699	0.99284	0.99197	0.98469	0.99268	1.00328	0.98896	1.00128	0.99889	0.99229	0.99267	0.99598	0.99419	0.9747	0.99881	0.99044	0.98775	1.00581	1.01363
525	0.98223	0.97571	0.97972	0.97136	0.97432	0.9791	0.96601	0.96976	0.96125	0.98062	0.96976	0.97256	0.97143	0.98352	0.96974	0.95953	0.96401	0.96982	0.98391	0.97768	0.96917	0.96573	0.96723	0.96614	0.99097	0.96228	0.98366	0.97632	0.96795	0.97079	0.96617	0.9673	0.97995	0.97359	0.97805	0.97661	0.97378	0.97547	0.98155	0.97649	0.95673	0.97878	0.97211	0.96552	0.98624	0.99548
540	0.96307	0.95867	0.96043	0.95706	0.94993	0.94512	0.94915	0.95854	0.94425	0.96171	0.95295	0.95979	0.95793	0.96688	0.95044	0.94331	0.95047	0.95177	0.95988	0.95971	0.94752	0.95411	0.95104	0.9558	0.9796	0.93995	0.9632	0.95398	0.95709	0.94672	0.9474	0.94788	0.95261	0.9552	0.95751	0.95254	0.95381	0.95554	0.96556	0.95648	0.94351	0.96147	0.94846	0.95151	0.96591	0.9726
555	0.94805	0.94069	0.95088	0.94713	0.93846	0.93197	0.93931	0.94298	0.93501	0.94883	0.93824	0.94926	0.94717	0.94786	0.93456	0.92545	0.94117	0.93931	0.94109	0.94693	0.93357	0.94456	0.93608	0.94818	0.96481	0.92706	0.94872	0.93999	0.94496	0.93438	0.94065	0.93403	0.94158	0.9443	0.93855	0.93923	0.94096	0.94061	0.95562	0.94057	0.93138	0.94188	0.93219	0.93166	0.95399	0.95315
570	0.93751	0.93857	0.94602	0.94066	0.93216	0.92636	0.93816	0.94075	0.92987	0.93947	0.93165	0.9463	0.94262	0.93378	0.92784	0.92439	0.94058	0.9381	0.92925	0.94052	0.92673	0.93611	0.93186	0.94762	0.96029	0.92493	0.93553	0.93254	0.94127	0.93475	0.93336	0.93203	0.93882	0.94067	0.93381	0.93457	0.93512	0.94047	0.95162	0.93425	0.93256	0.93909	0.92452	0.9277	0.94891	0.94434
585	0.94695	0.94363	0.95684	0.94354	0.94032	0.93366	0.94785	0.9462	0.93581	0.94351	0.93363	0.95116	0.93959	0.94098	0.93354	0.93019	0.9413	0.94669	0.93278	0.94883	0.93151	0.9426	0.9362	0.95763	0.96265	0.9295	0.937	0.93614	0.94592	0.94058	0.94308	0.94005	0.94875	0.93831	0.94572	0.94167	0.93943	0.95377	0.95797	0.94541	0.93793	0.94372	0.92894	0.92669	0.94954	0.95155
600	0.96191	0.96287	0.97007	0.95691	0.95788	0.95278	0.96586	0.96297	0.94616	0.95858	0.95227	0.96323	0.94943	0.95257	0.94956	0.94223	0.95065	0.95637	0.9441	0.95762	0.94763	0.95175	0.95092	0.96858	0.96815	0.94798	0.95063	0.95328	0.95961	0.95377	0.95732	0.95429	0.96185	0.95306	0.95903	0.9572	0.95101	0.97109	0.97351	0.96218	0.95591	0.9589	0.94458	0.94017	0.95814	0.96526
615	0.97951	0.97845	0.98458	0.97835	0.9779	0.97951	0.98094	0.97704	0.96776	0.97623	0.97263	0.98219	0.96906	0.97275	0.97084	0.96577	0.96878	0.97766	0.96473	0.97277	0.96687	0.97086	0.97173	0.98884	0.98095	0.97506	0.96776	0.97299	0.97864	0.97399	0.97847	0.97855	0.97907	0.97209	0.98053	0.97912	0.9729	0.98188	0.98964	0.98536	0.97443	0.97657	0.96598	0.95754	0.9776	0.97886
630	0.99671	0.9892	0.99249	0.99534	0.99234	0.99726	1.00078	0.99207	0.98465	0.99484	0.99018	0.99694	0.98238	0.99085	0.99004	0.98249	0.98275	0.99632	0.98522	0.9914	0.98612	0.98882	0.98771	1.00486	0.99805	0.9908	0.98039	0.98664	1.00028	0.99104	0.99552	0.99627	0.99336	0.98653	1.00144	0.9989	0.99266	1.00044	0.99661	1.00507	0.99811	0.99445	0.98964	0.98697	0.99783	0.9998
645	1.00958	1.00239	1.00099	1.00443	1.00734	1.00668	1.0167	1.00443	0.99642	1.00469	1.00943	1.01298	0.99402	1.00995	1.00317	0.99836	0.99684	1.00481	1.00163	1.00992	0.99475	1.00184	1.00255	1.02079	1.00058	1.00599	1.00129	1.00293	1.00955	1.00576	1.00819	1.00645	1.00217	1.00024	1.01623	1.01016	1.00394	1.01304	1.00525	1.01687	1.00704	1.01432	0.99561	1.00857	1.00775	1.01195
660	1.01332	1.00865	1.00883	1.00624	1.01795	1.01091	1.01915	1.00526	1.00478	1.00952	1.0181	1.01913	1.00167	1.01972	1.00857	1.01082	1.0018	1.00835	1.00779	1.0154	1.00598	1.00978	1.01287	1.01641	1.01105	1.01505	1.00452	1.00839	1.01693	1.00849	1.01009	1.01121	1.00371	1.0106	1.02412	1.01073	1.0067	1.01303	1.01329	1.01954	1.01303	1.0188	1.00691	1.0167	1.00968	1.01788
675	1.00732	1.00281	1.00201	0.99633	1.01418	1.00076	1.01554	1.0023	1.00465	1.00522	1.01673	1.01887	1.00076	1.02087	1.00637	1.00967	1.00127	1.00334	1.00588	1.01291	1.00203	1.01148	1.00824	1.01007	1.0069	1.01098	1.00651	1.00377	1.00698	1.00157	1.00691	1.00155	0.99875	1.01179	1.01632	0.99952	1.00154	1.00462	1.00597	1.01227	1.0093	1.01583	1.00245	1.01369	0.9988	1.00526
690	0.99401	0.99172	0.98627	0.98487	0.99862	0.98512	1.0038	0.99909	0.99852	0.9959	1.00844	1.00597	0.99263	1.00685	0.9933	0.99814	0.9883	0.99445	0.9936	1.00193	0.98907	1.00343	0.99813	0.99935	1.00226	0.99559	1.00588	0.98881	0.99353	0.98825	0.99898	0.99188	0.99662	1.00584	1.00352	0.98821	0.98844	0.99093	0.99732	0.99435	1.00475	1.00955	0.99229	1.00226	0.98828	0.98924
705	0.9759	0.97425	0.97099	0.97099	0.9902	0.96921	0.98695	0.98339	0.97977	0.98043	0.99084	0.99113	0.97682	0.98431	0.97346	0.97858	0.97627	0.97773	0.97487	0.98368	0.97525	0.98663	0.97954	0.98585	0.98721	0.98386	0.99299	0.97499	0.97927	0.97319	0.98749	0.97461	0.98418	0.9947	0.9896	0.97545	0.97537	0.97998	0.9786	0.97555	0.99414	0.98554	0.983	0.98135	0.97215	0.97133
720	0.95803	0.96073	0.95862	0.95085	0.97394	0.95321	0.96618	0.97361	0.96445	0.96166	0.9724	0.97171	0.96214	0.96486	0.95725	0.96328	0.96332	0.96653	0.96232	0.96767	0.95926	0.96961	0.96216	0.9698	0.97063	0.96447	0.97672	0.95698	0.96208	0.95747	0.96943	0.95896	0.98081	0.98072	0.97475	0.95993	0.95906	0.96476	0.95812	0.95748	0.98364	0.9673	0.96715	0.95943	0.95495	0.95875
735	0.95155	0.95096	0.95326	0.94664	0.96148	0.94526	0.95426	0.96891	0.95231	0.95128	0.96002	0.96096	0.94906	0.95254	0.95012	0.95392	0.94848	0.94733	0.95097	0.95649	0.95119	0.9592	0.95301	0.95865	0.96061	0.94987	0.95905	0.94825	0.95445	0.93926	0.95986	0.95021	0.97235	0.96371	0.97184	0.95306	0.94955	0.95713	0.94599	0.95124	0.96831	0.95142	0.9598	0.94932	0.94354	0.95187
750	0.94662	0.95148	0.95329	0.94373	0.95897	0.9428	0.95121	0.96744	0.94929	0.95116	0.96269	0.96074	0.94404	0.94026	0.95258	0.94544	0.94571	0.94009	0.94426	0.94603	0.94975	0.95082	0.95056	0.95512	0.95011	0.95003	0.95351	0.94895	0.95637	0.94116	0.95552	0.94357	0.96846	0.95998	0.96089	0.94876	0.94668	0.95514	0.93973	0.94714	0.95709	0.94284	0.95486	0.94484	0.94295	0.94718
765	0.95474	0.95337	0.96149	0.95311	0.95795	0.95059	0.95293	0.96604	0.9549	0.95773	0.96554	0.96767	0.94772	0.94213	0.95994	0.95147	0.95323	0.94987	0.94695	0.9475	0.95263	0.95692	0.9535	0.96118	0.95433	0.95347	0.9521	0.95801	0.96546	0.95025	0.96149	0.94884	0.96996	0.96194	0.96531	0.96057	0.95453	0.95446	0.94703	0.95762	0.96382	0.94979	0.96045	0.95587	0.95703	0.94787
780	0.96468	0.96377	0.97362	0.9638	0.96056	0.96543	0.96458	0.96973	0.95826	0.97016	0.97893	0.97378	0.95968	0.95329	0.97052	0.96149	0.96316	0.96557	0.95866	0.96426	0.95868	0.96673	0.96203	0.97101	0.96103	0.95618	0.96645	0.96697	0.98263	0.96663	0.97632	0.95754	0.97628	0.96492	0.97319	0.97147	0.96456	0.976	0.95947	0.96774	0.96917	0.96102	0.97198	0.97392	0.97497	0.96397
795	0.97704	0.97586	0.9924	0.98425	0.98156	0.98514	0.98232	0.9811	0.97074	0.98374	0.99426	0.98452	0.97826	0.97232	0.98234	0.97754	0.97823	0.98306	0.97337	0.98622	0.96805	0.98351	0.98226	0.98329	0.97534	0.97527	0.98373	0.98042	0.99851	0.98568	0.9889	0.97907	0.98368	0.97318	0.98626	0.98086	0.97512	0.99308	0.98219	0.98475	0.97791	0.9809	0.97881	0.99061	0.99118	0.98379
810	0.98929	0.99085	1.00633	1.00244	0.99102	1.00126	0.99751	1.00054	0.98818	0.99426	1.00778	0.99481	0.98854	0.99202	0.99411	0.98894	0.98369	1.00046	0.98795	1.00246	0.98374	0.99576	0.99764	0.99522	0.99302	0.99294	0.98709	0.99627	1.01182	1.00481	0.99734	0.99855	0.98961	0.9878	0.99554	0.99424	0.99116	1.00439	1.00252	0.99931	0.9876	1.00382	0.99824	1.01006	1.00096	0.99704
825	0.99972	1.00736	1.01595	1.01015	0.99944	1.0158	1.01324	1.01289	1.00445	1.00019	1.01267	1.00287	0.99461	1.00703	1.0044	0.99932	0.99319	1.01331	1.00069	1.014	0.99076	1.00758	1.00832	1.00337	1.00164	0.9986	1.00517	1.00813	1.02451	1.0224	1.0014	1.01299	1.00143	0.99913	1.00477	0.99989	1.0062	1.01455	1.01237	1.01113	0.99754	1.012	1.0115	1.02474	1.00786	1.0034
