"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
840	1.00631	1.01889	1.01641	1.01358	1.00571	1.02794	1.01966	1.01558	1.01437	1.01137	1.01541	1.00458	0.99933	1.0106	1.01014	1.00256	1.00157	1.02095	1.00571	1.0154	0.99488	1.01402	1.01947	1.00576	1.01246	1.00169	1.02151	1.01674	1.02276	1.03242	1.00347	1.02202	1.0089	1.00657	1.01113	1.00319	1.01529	1.02012	1.01799	1.01596	1.004	1.02326	1.01612	1.03485	1.0208	1.00674
855	1.00658	1.01455	1.00539	1.0082	1.00554	1.02174	1.01691	1.00749	1.01331	1.00455	1.00721	1.006	0.9923	1.0089	1.00501	1.00037	1.00433	1.02055	1.00522	1.01201	0.99478	1.01198	1.01589	1.00531	1.00809	1.00106	1.02432	1.01952	1.019	1.03074	0.99645	1.01632	1.00833	1.00446	1.00757	1.0073	1.01537	1.01928	1.01165	1.01487	1.00229	1.01403	1.01515	1.03035	1.0186	1.00322
870	1.00007	1.00505	0.99594	0.995	0.99672	1.01221	1.00413	1.00094	1.00329	0.99615	0.99147	0.99801	0.98333	1.00585	0.9964	0.99349	1.00142	1.00815	1.00046	1.00367	0.99021	1.00568	1.00735	0.99897	0.99894	0.98954	1.02122	1.00603	1.00295	1.01619	0.98854	1.00588	1.00782	1.00141	1.00074	1.00545	1.00707	1.01177	0.99901	1.00562	0.99534	1.00723	1.00937	1.01826	1.01326	0.99166
885	0.99044	0.99591	0.98939	0.98457	0.98801	0.99949	0.99618	0.99286	0.9902	0.98343	0.98099	0.99527	0.9737	0.99182	0.9842	0.98829	0.9931	0.98984	0.98662	0.99092	0.98158	0.99088	0.9987	0.98931	0.99175	0.97914	1.00759	0.99668	0.98936	1.00162	0.97793	0.98855	0.99504	0.98656	0.99853	0.99811	0.99629	0.9978	0.98185	0.99216	0.97743	0.99631	0.99937	1.00674	1.00531	0.97544
900	0.98081	0.98891	0.97465	0.95825	0.97438	0.98325	0.9838	0.97874	0.97939	0.97453	0.97334	0.9866	0.96146	0.97184	0.97392	0.97325	0.98577	0.98098	0.9731	0.97299	0.96862	0.97397	0.98352	0.98443	0.97982	0.97508	0.9991	0.98448	0.97468	0.99218	0.96879	0.96904	0.98853	0.97719	0.98323	0.98666	0.98099	0.9831	0.96387	0.97739	0.96377	0.98427	0.9874	0.98256	0.99333	0.97044
915	0.97626	0.97456	0.96887	0.95027	0.96283	0.97366	0.97377	0.97109	0.9712	0.96346	0.9639	0.98118	0.96237	0.95849	0.96391	0.96828	0.98237	0.9733	0.96083	0.9627	0.96397	0.9635	0.97141	0.97406	0.96864	0.97161	0.98486	0.97725	0.9678	0.97831	0.96424	0.9548	0.98519	0.96719	0.97305	0.97541	0.96756	0.9743	0.95595	0.97056	0.95745	0.97704	0.97463	0.97084	0.98867	0.96023
930	0.97279	0.96945	0.96803	0.94639	0.95688	0.96603	0.96816	0.96232	0.96404	0.95716	0.96446	0.9729	0.9658	0.95327	0.96203	0.96368	0.97567	0.97061	0.95718	0.95768	0.95785	0.95349	0.96748	0.96927	0.96416	0.97241	0.98237	0.9699	0.96473	0.96938	0.96824	0.94824	0.98381	0.96478	0.96766	0.96945	0.95632	0.96702	0.95227	0.96516	0.9569	0.96809	0.96896	0.96093	0.98125	0.96152
945	0.97301	0.9693	0.96657	0.95607	0.965	0.96254	0.96871	0.96314	0.96491	0.95914	0.96337	0.97202	0.97104	0.95707	0.96306	0.96295	0.97776	0.97014	0.95827	0.9596	0.96056	0.95495	0.96919	0.97062	0.96116	0.98117	0.97162	0.96646	0.97478	0.97589	0.97196	0.95381	0.98095	0.96649	0.9692	0.96427	0.95664	0.96304	0.95825	0.96983	0.96057	0.96887	0.97028	0.9545	0.98088	0.96644
960	0.97563	0.97932	0.97404	0.97234	0.96787	0.96526	0.97601	0.98003	0.97069	0.96568	0.97065	0.96952	0.97214	0.96434	0.96991	0.95958	0.97736	0.97338	0.96615	0.9599	0.96889	0.96028	0.97327	0.97885	0.96655	0.98187	0.96896	0.97694	0.98436	0.97937	0.97439	0.9637	0.9835	0.97732	0.97637	0.9708	0.96502	0.96291	0.96656	0.97717	0.96616	0.96935	0.97509	0.96498	0.98238	0.97664
975	0.98375	0.99478	0.98774	0.98389	0.98484	0.97497	0.98672	0.99582	0.98274	0.98014	0.98265	0.97861	0.98175	0.97474	0.98072	0.96786	0.97998	0.9838	0.97608	0.97648	0.97362	0.96972	0.98784	0.98487	0.97813	0.98482	0.9741	0.98751	1.00099	0.99199	0.98227	0.97949	0.99062	0.98532	0.98902	0.97206	0.98003	0.97774	0.97921	0.98803	0.98698	0.96844	0.98878	0.98026	0.99291	0.98415
