"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
-555	0.90612	0.89845	0.87992	0.88885	0.90491	0.91818	0.89066	0.91261	0.88586	0.90741	0.91365	0.89749	0.90187	0.8939	0.89442	0.86922	0.87705	0.90288	0.90299	0.89091	0.87976	0.88373	0.90197	0.89936	0.90466	0.88849	0.89227	0.90254	0.88938	0.87992	0.89569	0.87811	0.89543	0.91625	0.90971	0.89124	0.87957	0.91963	0.90106	0.91041	0.88764	0.903	0.9245	0.85579	0.89162	0.87521
-540	0.94189	0.92148	0.90906	0.92578	0.9297	0.94245	0.92361	0.93982	0.91113	0.92632	0.9343	0.91925	0.92735	0.91698	0.92547	0.88507	0.91246	0.93832	0.92791	0.91699	0.91149	0.91251	0.92971	0.93286	0.92757	0.91869	0.90173	0.92801	0.91369	0.91451	0.92823	0.90853	0.91427	0.95178	0.94193	0.92431	0.91408	0.94531	0.92637	0.93563	0.90836	0.91788	0.94439	0.88633	0.91325	0.89701
-525	0.97445	0.95821	0.93549	0.95737	0.95102	0.96829	0.95465	0.97274	0.93228	0.94863	0.95761	0.93904	0.93416	0.94007	0.9409	0.91075	0.93878	0.96116	0.94848	0.93727	0.92784	0.93756	0.95565	0.96154	0.95333	0.95192	0.92877	0.9485	0.94123	0.94732	0.96028	0.931	0.9421	0.97538	0.95585	0.94616	0.94616	0.97315	0.94634	0.95944	0.92682	0.9335	0.96954	0.90131	0.93789	0.91877
-510	0.98749	0.96556	0.94123	0.97602	0.96709	0.97265	0.96734	0.98324	0.95679	0.9662	0.97072	0.95138	0.94033	0.95229	0.95135	0.92998	0.95065	0.97304	0.95704	0.95806	0.9396	0.95351	0.96226	0.97756	0.96228	0.97177	0.94917	0.95142	0.94944	0.96544	0.97283	0.9429	0.94993	0.99151	0.97303	0.96248	0.96184	0.97412	0.95164	0.97312	0.94686	0.94174	0.99167	0.92309	0.9535	0.93975
-495	0.98647	0.96525	0.93252	0.98036	0.97751	0.95903	0.96773	0.97783	0.96199	0.96793	0.96487	0.94345	0.93934	0.94963	0.94902	0.93213	0.94964	0.97162	0.95485	0.96812	0.93967	0.95393	0.9589	0.97431	0.96566	0.98297	0.94913	0.96258	0.94289	0.95884	0.97306	0.93394	0.94809	0.99301	0.9727	0.95939	0.96796	0.95692	0.95274	0.97387	0.95647	0.94575	0.98845	0.9456	0.95274	0.95471
-480	0.96785	0.95744	0.92221	0.95938	0.96292	0.93619	0.94988	0.96153	0.95404	0.95366	0.94958	0.91967	0.92524	0.93031	0.93252	0.93418	0.92862	0.94489	0.93755	0.95541	0.92802	0.94394	0.94822	0.9621	0.9497	0.96827	0.93796	0.95113	0.92847	0.9385	0.95975	0.91695	0.93756	0.96988	0.95648	0.94799	0.95522	0.93541	0.94419	0.95812	0.92667	0.93006	0.97146	0.92716	0.94198	0.9414
-465	0.93244	0.93238	0.90697	0.92823	0.94812	0.89239	0.9194	0.92939	0.9409	0.92674	0.9274	0.89627	0.90598	0.91239	0.90459	0.91106	0.9057	0.91627	0.91099	0.93691	0.90578	0.92682	0.91966	0.93739	0.90877	0.94283	0.90253	0.9299	0.90005	0.91191	0.92232	0.89331	0.9101	0.94182	0.91899	0.92908	0.93002	0.89879	0.91963	0.92995	0.9112	0.91857	0.93251	0.88798	0.91558	0.91701
-450	0.89682	0.90389	0.86874	0.88058	0.91944	0.86592	0.88482	0.8925	0.90821	0.89125	0.88362	0.86206	0.87536	0.8866	0.87188	0.88537	0.87084	0.88782	0.88337	0.89928	0.88038	0.88781	0.89657	0.89373	0.87058	0.90845	0.87177	0.89538	0.86808	0.8721	0.88305	0.8768	0.8809	0.89845	0.8837	0.90133	0.89696	0.86048	0.89949	0.89248	0.88311	0.88585	0.90629	0.8758	0.89223	0.88238
-435	0.86313	0.86938	0.84526	0.86448	0.8843	0.84991	0.85753	0.86713	0.88545	0.86945	0.85509	0.84721	0.83374	0.86357	0.84827	0.85863	0.84338	0.85794	0.85635	0.86909	0.85522	0.84866	0.87225	0.86709	0.83923	0.87662	0.86171	0.8697	0.85122	0.85546	0.84885	0.85825	0.85245	0.86953	0.84533	0.86373	0.86732	0.8293	0.8837	0.86304	0.8539	0.86238	0.87651	0.8409	0.86697	0.86454
-420	0.83513	0.85844	0.8322	0.84886	0.86344	0.8355	0.84137	0.85449	0.87244	0.85614	0.84055	0.84034	0.82074	0.84125	0.83975	0.84445	0.83288	0.83927	0.83946	0.85407	0.85064	0.84607	0.85467	0.85886	0.83601	0.84998	0.85553	0.85463	0.8407	0.84221	0.82697	0.84348	0.8416	0.8513	0.83308	0.8443	0.83962	0.82783	0.87434	0.84325	0.84567	0.85083	0.87047	0.82808	0.84516	0.84707
