"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
-135	0.96703	0.93551	0.92394	0.92476	0.92545	0.96164	0.93254	0.95044	0.94828	0.958	0.91568	0.93325	0.90019	0.88536	0.92635	0.9369	0.90847	0.92712	0.88957	0.9111	0.90344	0.88712	1.01307	0.90393	0.89293	0.88395	0.90476	0.93476	0.90814	0.99293	0.8876	0.9344	0.94739	0.89832	0.88025	0.86295	0.93068	0.91369	0.91589	0.92148	0.90554	0.96694	0.91058	0.92915	0.94569	0.91777
-120	0.93489	0.90693	0.89314	0.90257	0.90277	0.94215	0.91046	0.92414	0.9281	0.92447	0.88299	0.91055	0.8659	0.86441	0.90642	0.91398	0.88579	0.89466	0.85971	0.87607	0.88565	0.85989	0.98982	0.87118	0.87176	0.86703	0.88264	0.91378	0.87977	0.96315	0.85515	0.88982	0.93019	0.86729	0.85401	0.82447	0.90425	0.88444	0.88086	0.89453	0.87538	0.9429	0.9009	0.9007	0.92538	0.88817
-105	0.89196	0.86967	0.8616	0.86792	0.87397	0.90897	0.88723	0.88951	0.90081	0.88077	0.84824	0.88116	0.8276	0.82771	0.87364	0.87885	0.85314	0.85291	0.82341	0.85432	0.85246	0.82041	0.95907	0.85044	0.84189	0.84592	0.85302	0.88183	0.84521	0.91474	0.80545	0.84192	0.90543	0.8311	0.81296	0.78416	0.85463	0.84607	0.84069	0.85803	0.83332	0.89247	0.8693	0.85866	0.88173	0.85019
-90	0.8546	0.83147	0.82712	0.83012	0.85061	0.88005	0.85262	0.85806	0.87469	0.84606	0.81333	0.85215	0.78318	0.79399	0.84216	0.84421	0.82804	0.81289	0.78659	0.82088	0.81388	0.78795	0.92841	0.83077	0.80666	0.82234	0.81345	0.85281	0.81886	0.88321	0.77943	0.81024	0.87304	0.79419	0.77999	0.73481	0.81388	0.80901	0.80544	0.82732	0.80303	0.852	0.83704	0.8237	0.8457	0.81518
-75	0.82593	0.8104	0.79287	0.80098	0.81984	0.86613	0.8305	0.82926	0.85856	0.81472	0.78626	0.82343	0.75086	0.77096	0.81956	0.81915	0.80961	0.7882	0.76055	0.79123	0.78016	0.76528	0.90885	0.81389	0.79956	0.80915	0.79077	0.84417	0.80101	0.85089	0.75548	0.77558	0.84727	0.76333	0.75053	0.69663	0.78633	0.79386	0.77499	0.80255	0.79235	0.82917	0.81407	0.80986	0.82826	0.80889
-60	0.82066	0.80655	0.79278	0.76986	0.81807	0.86554	0.82463	0.81933	0.84886	0.80454	0.77518	0.81907	0.73365	0.76439	0.81711	0.80267	0.79652	0.79019	0.75446	0.79179	0.77213	0.75709	0.89843	0.80478	0.79365	0.80599	0.77262	0.83462	0.78994	0.84122	0.7483	0.76987	0.84144	0.74813	0.74246	0.68206	0.77267	0.78223	0.76518	0.79426	0.79052	0.81557	0.80701	0.7895	0.82612	0.81874
-45	0.82684	0.82008	0.79485	0.7704	0.81139	0.86987	0.82115	0.81914	0.85109	0.81048	0.77848	0.82791	0.73668	0.75707	0.83433	0.80229	0.79468	0.78902	0.75888	0.80087	0.77233	0.77173	0.9029	0.81907	0.80777	0.803	0.76812	0.83958	0.79031	0.84964	0.75311	0.78601	0.84069	0.73303	0.74156	0.68522	0.77222	0.77931	0.78078	0.80277	0.79987	0.80792	0.80555	0.79197	0.83656	0.82964
-30	0.83033	0.83058	0.80553	0.77244	0.80723	0.87943	0.82322	0.8217	0.86207	0.8242	0.77961	0.83484	0.74846	0.75413	0.84623	0.81682	0.79297	0.79646	0.76736	0.82348	0.77488	0.7807	0.91679	0.84127	0.81384	0.80646	0.77193	0.83456	0.79352	0.85995	0.76019	0.80546	0.85196	0.72991	0.74765	0.6985	0.77939	0.78932	0.79229	0.81044	0.79938	0.81916	0.80603	0.81086	0.85227	0.84655
-15	0.83185	0.8422	0.81546	0.77808	0.80061	0.88708	0.82426	0.82988	0.8635	0.83112	0.78358	0.84392	0.76038	0.758	0.85964	0.82106	0.79004	0.7993	0.77176	0.83744	0.77916	0.78863	0.9186	0.84933	0.82704	0.80689	0.76738	0.83777	0.79703	0.86491	0.76872	0.81143	0.85434	0.72838	0.74813	0.71749	0.78202	0.78362	0.79901	0.81167	0.79765	0.82274	0.80968	0.82413	0.8701	0.85006
0	0.83665	0.82975	0.82651	0.77533	0.79224	0.87804	0.82988	0.82608	0.8673	0.83412	0.78765	0.84626	0.7589	0.75804	0.85972	0.82326	0.7845	0.79797	0.78073	0.8382	0.78505	0.7745	0.91151	0.85127	0.82144	0.80202	0.77588	0.82814	0.79264	0.85909	0.76628	0.81206	0.84334	0.73907	0.74323	0.73179	0.78928	0.78669	0.80383	0.82356	0.79374	0.83204	0.8212	0.85516	0.86488	0.84359
