"chr"	"start"	"end"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
"1"	3000001	4000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1"	4000001	5000000	-0.145298991195235	-0.0663358363835952	-0.145545433788021	-0.202200610607306	-0.116600311010619	-0.180364687063338	-0.0751338933435524	-0.121735406690871	-0.0129408340068698	-0.0507503020890315	-0.155097921331592	-0.0373641128082143	-0.0769398792382878	-0.0958412702534871	-0.0968701289150383	0.0486613584354945	-0.0295021173690889	-0.0409207809766076	-0.0605445931539895	-0.0740624489931305	-0.132068204462145	-0.027274201832334	-0.0885927790400436	-0.130434660316411	-0.0791270197699962	-0.0405016238228537	-0.0157357822433092	-0.0305818190803771	-0.0974771617363124	-0.0698355589943527	-0.0990546626280944	-0.142682836212264	-0.098001875872922	-0.16079544803746	-0.0654032323885093	-0.129636976883788	-0.106914368868081	-0.135187544032109	-0.0995895098710717	-0.0630994047537053	-0.0883590616991111	-0.107885455512844	-0.201111352897545	-0.116709913431674	-0.0784724712419423	-0.108999033028272
"1"	5000001	6000000	-0.0739990903187125	-0.121087839987585	-0.199325374943242	-0.0793508467341792	-0.150074544783278	-0.111622226235919	-0.0405015333401177	-0.0642306646185095	-0.0931225694777594	-0.103268258010375	-0.0567037569437892	-0.068373437652764	-0.0514967653667737	-0.159750562298408	-0.0776579846883813	-0.00566844507371983	0.0234182893758969	-0.0763306084953035	-0.0770615470358368	-0.0941961016014392	0.0118613852435787	-0.0130477835814963	-0.0640920582582774	0.00894664274043157	-0.0960393477078837	-0.11763604433067	-0.0211029146821767	-0.0468087629140849	-0.0387202076846931	-0.116953327118881	-0.0513478827427095	-0.10126346107254	-0.0378876032381252	-0.0313152833906825	-0.0898113341704686	-0.0749953602314492	-0.166644499331104	-0.124556790681807	-0.10060012499532	-0.131248973627391	-0.117821689729298	0.0209279003651002	-0.150068642077749	-0.0303576098267971	-0.0396479447633002	0.0552038110725594
"1"	7000001	8000000	-0.0761248057826326	0.00195895694339943	0.0136865000376645	0.00676587302835481	0.0213469619667145	0.0146676950014766	0.0289865962513575	-0.00622684304335605	0.0731981913406986	-0.0303778756197662	-0.104043733817056	0.0731418689457308	0.0775069108746173	-0.00591541567408682	-0.0116892199868834	0.0338947036761327	0.00519972468773902	0.0171906878416321	0.0242335486742468	-0.0878054941251265	0.0442902046412161	0.0456587868823291	-0.01001445426568	-0.00172143181090042	-0.0524182795276294	0.00704077894456531	-0.0281562811809227	-0.0886908687051126	0.0313409483846121	-0.0357024386465572	-0.0150851194236834	0.0294958224640994	-0.0653626840708939	-0.0506740587667079	-0.0223044654889202	-0.0446058727824188	-0.0483016488904615	-0.0216805702840798	-0.102980439895261	-0.0955531170562816	-0.053867967767375	-0.0573028470736904	-0.0548749146951179	0.0869089849125094	-0.0210976855013983	-0.0454578631070787
"1"	14000001	15000000	-0.0776714222843647	-0.0882408105114848	-0.147415796674403	-0.0359799605324799	0.054477305781666	-0.178490823866008	-0.0633799432930482	-0.0192963287927923	-0.0176914219242115	-0.137592716761069	-0.0125223591908002	-0.0969890880083724	-0.00053314245333104	-0.0623496145633102	-0.0670819494482068	-0.0357544434672128	-0.0477431600455121	0.0317226244142311	-0.0260929763220099	-0.0493456848927275	-0.0744578343094989	-0.0794303401334139	-0.105178110750802	-0.0230280738594312	0.00488775977257691	-0.00479437429867519	-0.0108451056376344	0.0167982302883416	-0.0151018290639939	0.000913654621227972	-0.0957938124754439	-0.23760696456183	-0.0463499431122746	-0.0587919677803292	-0.0129771769531094	-0.00281388688023505	-0.0614021970812294	-0.0631555610929616	-0.142682286964263	-0.121798691504627	-0.0594015989738124	-0.0607743747350544	-0.060865959768126	-0.0618638060254901	-0.0808451697806844	-0.0164717693571046
"1"	17000001	18000000	-0.488243696484866	-0.585389402538279	-0.632722619671434	-0.656104982484878	-0.603418882234729	-0.496784247746459	-0.519592591477096	-0.625103760853511	-0.530743141557414	-0.526065153500179	-0.630064035419413	-0.512913935664146	-0.568415681397213	-0.695837924843917	-0.564572537255835	-0.478422832736582	-0.59420130413267	-0.47743350462054	-0.529143313363942	-0.586929326939045	-0.567457592817506	-0.547418856570588	-0.537004652585671	-0.53936478114313	-0.510856811281909	-0.573726271481585	-0.492675384225363	-0.509799878174804	-0.429657542332799	-0.663448306291462	-0.499448166396552	-0.564426303013067	-0.557998003855611	-0.543606400906609	-0.608181025903499	-0.574975417414945	-0.528383801800932	-0.639871627831879	-0.597392046508719	-0.59349569187917	-0.620910617907209	-0.533599732115466	-0.338328781076324	-0.559550500575156	-0.588570802790512	-0.430307715564539
"1"	18000001	19000000	-0.136275898825486	-0.0925736794859651	-0.0896131211600436	-0.1220165652979	-0.130417953144626	-0.0309224121243763	-0.0182562825163403	-0.0124606235708701	-0.0786270958255586	-0.0386127554063047	-0.0944815881376748	-0.0374131832097368	-0.046862751810363	-0.0728769002502684	-0.00788360666015594	-0.115599853515795	0.0122680824244712	-0.0340647257419159	-0.0633784367161874	-0.107010715265151	-0.0558870662833061	-0.0109511138269681	-0.111868421567264	-0.0346014506246173	-0.0347877063650504	0.00116362331837588	-0.00606200384025145	0.0243971957604262	-0.0460414035895804	-0.00510567067314227	-0.0286930702027082	-0.124132223393599	-0.0580748593313875	-0.0254991346702291	-0.118678202280536	-0.0872640320122806	-0.0953286677181242	-0.117573748214446	-0.125533916313856	-0.165551041806802	-0.0759407776495576	-0.0444316541290159	-0.00468319920537889	-0.0241940755492352	-0.103171320953256	-0.0519651095763741
"1"	22000001	23000000	-0.0924900860364986	-0.0661137262023749	0.0306423966453266	-0.00994009616578619	0.0460376334766615	0.0519225856323313	-0.0362417126756342	0.00402801393968111	-0.061912818039584	0.0291527906759748	-0.00280071296262552	0.00125800813579491	-0.0100447804263169	-0.137867870332841	-0.000908010789339081	-0.0557028234594143	-0.0211933295285842	0.0310475944647122	-0.00417077914400517	-0.00377263745165619	-0.0479856616990712	-0.0464217989942674	0.0169737116531205	-0.0778830196110865	-0.0735135688800207	0.0809024640830625	-0.0730902952087071	-0.0453821273460299	-0.126084524462332	-0.0671441898861978	-0.0537596516428982	-0.0055317224625122	-0.0918235252895816	-0.0474086382392563	-0.0323595337659791	-0.0705218172518525	0.015799829407809	-0.109215324598668	-0.106158620701297	-0.105468252936829	0.017983997808279	-0.0124611038143878	-0.051449771828441	0.00134455428938837	-0.0351958615632745	-0.038395253472831
"1"	29000001	30000000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1"	33000001	34000000	-0.0345339645496331	-0.0282937839936115	-0.0212264425106898	0.0649651128323807	0.0811420081985151	0.0418858500386176	-0.0193969613086649	-0.0453212403064501	0.0317736650533852	0.0302149186317759	0.0406869881679802	0.0111760293218447	-0.0220939360926717	0.050545807106532	-0.00204942506344403	-0.0407573346935355	0.0122877621780187	0.0879814832336852	0.0258073792965014	0.0391267104240188	0.0356619960204752	0.0321653022924006	-0.0175967104998732	0.0167481509786602	0.0750294005404181	0.0662493256694457	0.0433790299368814	0.0303941200901642	0.0787649059762953	0.0515645516351943	-0.0181946147625319	0.0101149485094751	0.0805986332318664	0.0137146765737718	0.00698369787977053	0.0507882647475019	0.0342722036138655	0.0724462219385182	0.00210037089896715	0.0351670346736946	-0.0260323093922548	0.0198075455007498	0.0460445002850236	0.048470416467463	0.00738121456264681	0.0189842556839132
