"length"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
"10"	0.000109786367804752	0.000127373406755361	9.31092943136546e-05	9.73339737908809e-05	6.37950392977442e-05	0.000130515051547924	6.77022052091237e-05	9.1240376421297e-05	6.32500373913138e-05	4.24539864590463e-05	0.000187750577113317	0.00010238591169855	0.000111407617844019	5.96782823370254e-05	9.31892681607974e-05	7.64261351985386e-05	8.73361873343751e-05	5.98155527615046e-05	7.00364633173518e-05	0.000126972232269381	0.000130686596886502	1.42084659012803e-05	0.000111906881345459	9.12757449382158e-05	4.57187541346898e-05	7.56912541632082e-06	2.32467080917839e-05	3.7271377371205e-05	6.37907764597363e-05	0.000111803310250049	6.73511268102558e-05	4.50781023200798e-05	4.14118898741895e-05	8.66550336084707e-05	5.23870088180957e-05	3.99670694186316e-05	0.000102984944230506	0.000113330379660313	7.46382842151225e-05	5.49741152087951e-05	0.000133492907089957	9.78515996339176e-06	1.08086759512473e-05	7.19946637555224e-05	9.23318299787833e-05	5.60763580552366e-05
"11"	0.000164679551707129	0.00011988085341681	0.000135431700819861	9.73339737908809e-05	0.00011961569868327	9.03565741485625e-05	9.34935214792661e-05	0.00012441869511995	9.69833906666811e-05	5.51901823967602e-05	0.000203729349633599	0.000121583270142028	0.00011837059395927	0.00013261840519339	0.000142696066871221	0.000135215469966645	0.000131004281001563	2.65846901162243e-05	9.33819510898024e-05	0.000103886371856766	0.000117282843359682	6.39380965557613e-05	0.000129956378336662	8.42545337891223e-05	5.48625049616278e-05	8.3260379579529e-05	2.32467080917839e-05	8.94513056908921e-05	9.56861646896044e-05	9.50328137125418e-05	9.84362622611431e-05	0.000142747324013586	7.09918112128963e-05	0.000164188484731839	4.71483079362861e-05	5.13862321096692e-05	0.000137313258974008	0.00017707871821924	6.78529856501113e-05	0.000151178816824187	0.000109935335250553	2.93554798901753e-05	9.72780835612253e-05	5.9995553129602e-05	6.34781331104135e-05	8.01090829360524e-05
"12"	0.000164679551707129	0.000134865960093912	0.000110038256916137	0.000155734358065409	0.000143538838419924	0.000130515051547924	0.000135404410418247	0.00012441869511995	0.000105416728985523	8.91533715639972e-05	0.000207724042763669	0.000179175345472463	0.000215852259572787	0.000218820368569093	0.000186378536321595	0.000194004804734752	0.00010371172245957	3.32308626452803e-05	5.83637194311265e-05	0.000126972232269381	0.000211109118047427	3.55211647532007e-05	0.000144395975929624	0.000189572701025525	7.31500066155037e-05	5.29838779142457e-05	7.7489026972613e-05	0.000163994060433302	0.00013555539997694	7.2672151662532e-05	0.000134702253620512	0.000127721289906893	2.95799213387068e-05	0.000132262946033982	9.42966158725722e-05	5.13862321096692e-05	0.00010870633002109	0.000226660759320627	0.000142491269865234	0.000100785877882791	0.000157050478929362	4.89257998169588e-05	6.48520557074835e-05	0.000131990216885124	8.65610906051093e-05	9.61308995232628e-05
"13"	0.000179317734081096	0.000314687240219127	0.000177754107326068	0.000223868139719026	0.000247205777278759	0.000170673528947285	0.000154747897620854	0.000240542810565237	0.000160233428057995	7.64171756262833e-05	0.000311586064145504	0.000121583270142028	0.00023674118791854	0.000139249325453059	0.000265006981332268	0.000323341341224587	0.00014192130441836	0.000119631105523009	0.000116727438862253	0.000144286627578842	0.000164195980703554	9.9459261308962e-05	0.000234643460885639	0.000210636334472806	0.000118868760750194	0.000113536881244812	6.19912215780904e-05	0.00014908550948482	0.000199346176436676	0.000100622979225044	0.00012952139771203	0.000112695255800199	0.000106487716819344	0.000164188484731839	0.00011525141939981	5.7095813455188e-05	0.000131591873183424	0.000141662974575392	0.000169632464125278	0.000183247050695984	0.000172755526822298	4.89257998169588e-05	9.72780835612253e-05	0.000167987548762886	9.81025693524572e-05	0.000104141807816868
"14"	0.000234210917983472	0.000314687240219127	0.000160825144723585	0.000330935510888995	0.000215308257629887	0.000311228199845049	0.000167643555755925	0.000290310288613218	0.000177100104695679	4.24539864590463e-05	0.00035552768857628	0.000236767420802898	0.000341185829647308	0.000205558528049754	0.000308689450782641	0.000282188806886912	0.000169213862960352	8.64002428777289e-05	0.000159527499778412	0.000230858604126147	0.000241267563482774	0.000127876193111523	0.000169665271717308	0.000245742390218273	0.000137156262404069	0.000158951633742737	6.19912215780904e-05	0.000260899641598435	0.00021529387055161	0.000268327944600118	0.000155425677254437	0.000195338443387012	0.000112403701087086	0.000132262946033982	0.000204309334390573	8.5643720182782e-05	0.000154477416345759	0.00016999556949047	0.000115350075605189	0.000206152932032982	0.000188460574715234	7.82812797071341e-05	9.72780835612253e-05	0.000179986659388806	0.000144268484341849	0.000120163624404079
"15"	0.000245189554763947	0.00035215000691188	0.000262398920338481	0.000447736279438052	0.000263154537103195	0.000391545154643771	0.000196658786559836	0.000265426549589228	0.000215050127130467	0.000135852756668948	0.00042343747178748	0.000300758615614491	0.000424741543030322	0.0003912242953205	0.000358196249493065	0.000358614942085451	0.000191047909793946	0.000112984932993953	0.000217891219209539	0.000236630069229301	0.000247969440246184	0.000220231221469844	0.000263522656071564	0.000245742390218273	0.000118868760750194	0.000158951633742737	0.00017822476203701	0.000201265437804507	0.000255163105838945	0.000346590261775153	0.000202053380430767	0.000210364477493706	0.000141983622425793	0.000232600353370105	0.000178115829981525	0.000108482045564857	0.000188805731089261	0.000247910205506936	0.000203558956950334	0.000265708223509176	0.000290543386019319	0.000117421919560701	0.000194556167122451	0.000179986659388806	0.000161580702462871	0.000120163624404079
"16"	0.000270806373918389	0.000494508520344343	0.000270863401639722	0.000399069292542612	0.000311000816576503	0.000331307438544729	0.00024824141910012	0.000306899447962544	0.000223483465449309	0.000157079749898471	0.000443410937437833	0.000339153332501448	0.000557038089220094	0.000351438773762483	0.000314513780042691	0.000423283210330368	0.000240174515169532	9.96925879358411e-05	0.000249018536239473	0.000190458348404072	0.000231214748337658	0.000198918522617924	0.000202154366301474	0.000252763601367367	0.000146300013231007	0.000136244257493775	0.000100735735064397	0.000268353917072676	0.000247189258781478	0.000245967282550108	0.000295308786783429	0.000210364477493706	0.000153815590961275	0.000228039562127554	0.000230502838799621	9.70628828738196e-05	0.000200248502670428	0.000368323733896019	0.000196773658385323	0.000219896460835181	0.000274838338126383	9.78515996339176e-05	0.000108086759512473	0.00029997776564801	0.000167351441836545	0.000256349065395368
"17"	0.000278125465105373	0.000494508520344343	0.000296256845543446	0.000369869100405347	0.000398718995610901	0.000532099825541535	0.000251465333633888	0.000265426549589228	0.00027408349536236	0.000135852756668948	0.000471373789348327	0.000268763018208694	0.00052918618475909	0.000278498650906119	0.000358196249493065	0.000493830412052096	0.000278384097128321	0.000179446658284514	0.000206218475323314	0.000225087139022994	0.000227863809955953	0.000170501590815363	0.000256302857275083	0.000280848445963741	0.000164587514884883	0.000189228135408021	0.000131731345853442	0.000335442396340845	0.000326927729356149	0.000301868937675133	0.000191691668613805	0.000240416545707092	0.00021889141790643	0.000191553232187146	0.000204309334390573	9.13533015283008e-05	0.000165920187926926	0.000240827056778166	0.00023748544977539	0.000219896460835181	0.000219870670501106	0.00022505867915801	0.000151321463317462	0.000251981323144329	0.000225058835573284	0.000208283615633736
"18"	0.000252508645950931	0.000651852140453906	0.000211612032531033	0.0004088026899217	0.000494411554557518	0.000391545154643771	0.000245017504566353	0.000290310288613218	0.000231916803768151	0.000144343553960757	0.000447405630567903	0.000230368301321738	0.000633630826487857	0.000457533497917195	0.000393142225053364	0.000376251742515883	0.000240174515169532	0.000119631105523009	0.000233454877724506	0.000277030324951377	0.00027142600891812	0.000269960852124325	0.00018049496991203	0.000322975712858302	0.000173731265711821	0.000174089884575379	9.29868323671356e-05	0.000193811162330266	0.000263136952896412	0.000285098441137626	0.000243500227698617	0.000247929562760439	0.000207059449370947	0.000269086683310514	0.000188593231745144	7.99341388372632e-05	0.000183084345298677	0.000318741692794632	0.000162847165560267	0.000251964694706978	0.000282690862072851	0.000146777399450876	0.000248599546878687	0.000227983101892488	0.000178892920583893	0.000264359973688973
"19"	0.000215913190016013	0.000561941500391299	0.000372437177254618	0.000379602497784435	0.000462514034908645	0.000391545154643771	0.000270808820836495	0.000290310288613218	0.000240350142086992	0.000148588952606662	0.000431426858047621	0.000204771823397101	0.000577927017565848	0.000371331534541491	0.00036693274338314	0.000317462407747776	0.000262008562003125	0.000146215795639234	0.000167309329035896	0.000253944464538762	0.000268075070536415	0.000170501590815363	0.000151615774726105	0.00035808176860377	0.000164587514884883	0.0001816590099917	0.000185973664734271	0.000231082539701471	0.000231241564666544	0.000335409930750148	0.000191691668613805	0.000165286375173626	0.000301715197654809	0.000241721935855208	0.000220025437036002	0.000125610789601414	0.000148756030555175	0.000290409097879553	0.000210344255515345	0.000261127047241777	0.000251280766286979	0.000107636759597309	0.000183747491171203	0.000227983101892488	0.000190434399331241	0.000232316340514552
"20"	0.000215913190016013	0.00069680746048521	0.000397830621158342	0.000350402305647171	0.000414667755435337	0.000512020586841854	0.000225674017363746	0.000282015708938554	0.000240350142086992	0.000182552141773899	0.000419442778657409	0.000191973584434782	0.000626667850372606	0.000358069694022152	0.000398966554313414	0.000464435744668042	0.000180130886377149	9.3046415406785e-05	0.000210109389952055	0.000259715929641916	0.000311637269498583	0.000206022755568564	0.000187714768708511	0.000365102979752863	0.000256025023154263	0.000227073762489625	0.000185973664734271	0.000305625294443881	0.00021529387055161	0.000290688606650128	0.000279766219057986	0.000255442579813785	0.000236639370709654	0.000223478770885003	0.000193831932626954	0.000114191626910376	0.000200248502670428	0.000205411313134318	0.000305338435425501	0.000279451752311375	0.000243428242340511	0.000146777399450876	0.000162130139268709	0.000263980433770249	0.000271224750562676	0.000304414515156999
"21"	0.000186636825268079	0.000524478733698545	0.000372437177254618	0.000350402305647171	0.000311000816576503	0.000311228199845049	0.000209554444694907	0.000248837390239901	0.000193966781333362	0.000123116560731234	0.000359522381706351	0.000230368301321738	0.000605778922026853	0.000311653252204466	0.000331986767822841	0.000405646409899936	0.000272925585419922	9.96925879358411e-05	0.000182872987550863	0.000253944464538762	0.000234565686719363	0.000227335454420485	0.000155225674124346	0.000280848445963741	0.000137156262404069	0.000143813382910096	0.00017822476203701	0.000238536815175712	0.000287058494068813	0.000290688606650128	0.000207234236339249	0.000293007665080519	0.000207059449370947	0.000232600353370105	0.000188593231745144	0.000114191626910376	0.000160198802136343	0.000269159651693244	0.000162847165560267	0.000206152932032982	0.000243428242340511	0.000136992239487485	0.000162130139268709	0.000203984880640647	0.00024814179306798	0.000192261799046526
"22"	0.000190296370861571	0.000636867033776805	0.000363972695953377	0.0004088026899217	0.000422642135347555	0.000501980967492014	0.000186987042958532	0.000373256085359851	0.000198183450492783	0.000127361959377139	0.000339548916055998	0.000243166540284057	0.000619704874257355	0.000311653252204466	0.000329074603192816	0.000299825607317344	0.000240174515169532	8.64002428777289e-05	0.000186763902179605	0.000230858604126147	0.000261373193773005	0.000191814289667284	0.000176885070513789	0.000231699967920086	0.000182875016538759	0.000136244257493775	0.00017822476203701	0.000156539784959061	0.000223267717609077	0.000218016454987596	0.000243500227698617	0.000165286375173626	0.000141983622425793	0.000186992440944595	0.000193831932626954	0.000148449114983489	0.000205969888461012	0.000233743908049396	0.000244270748340401	0.000201571755765582	0.000227723194447575	0.00022505867915801	0.000151321463317462	0.000215983991266567	0.000236600314320632	0.000304414515156999
"23"	0.000193955916455063	0.000487015967005792	0.000304721326844688	0.000321202113509907	0.000318975196488721	0.00036142629659425	0.000199882701093603	0.000257131969914564	0.000156016758898574	0.000161325148544376	0.000339548916055998	0.00021117094287826	0.00052918618475909	0.000291760491425458	0.000282479969112417	0.000282188806886912	0.000201964933210742	0.000119631105523009	0.000175091158293379	0.000132743697372535	0.000224512871574248	0.000191814289667284	0.00018049496991203	0.00023872117906918	0.000164587514884883	0.000219504637073304	0.000108484637761658	0.000201265437804507	0.000183398482321742	0.000262737779087616	0.000233138515881655	0.000120208272853546	0.000183395512299982	0.000200674814672248	0.000172877129099716	0.000131320370946932	0.000154477416345759	0.000247910205506936	0.000230700151210379	0.000187828226963383	0.000251280766286979	0.000176132879341052	9.72780835612253e-05	0.00028797865502209	0.000173122181210219	0.000232316340514552
"24"	0.000204934553235538	0.000472030860328691	0.000287792364242205	0.000262801729235378	0.000303026436664285	0.000321267819194889	0.000151523983087086	0.000215659071541247	0.000143366751420311	7.64171756262833e-05	0.000259655053454587	0.000153578867547825	0.00047348237583708	0.000232082209088432	0.000247533993552118	0.000282188806886912	0.000114628745876367	8.64002428777289e-05	0.000210109389952055	0.000184686883300918	0.000150792227176734	0.000177605823766004	0.000158835573522586	0.000203615123323712	0.000173731265711821	0.000128675132077454	0.000116233540458919	0.000171448335907543	0.000151503094091874	0.000240377117037606	0.000264223651332542	0.000195338443387012	0.000141983622425793	0.00016874927597439	0.000204309334390573	9.13533015283008e-05	0.000160198802136343	0.000162912420761701	0.000156061866995256	0.000178665874428584	0.000227723194447575	0.000146777399450876	0.000129704111414967	0.000203984880640647	0.000173122181210219	0.000208283615633736
"25"	0.000179317734081096	0.000382120220266083	0.000279327882940964	0.000233601537098114	0.000374795855874247	0.000341347057894569	0.000177315299357229	0.000240542810565237	0.000143366751420311	0.000127361959377139	0.000223702815283952	0.000134381509104347	0.00041081559079982	0.000145880245712729	0.000198027194841694	0.000235157339072427	0.000136462792709961	5.98155527615046e-05	0.000206218475323314	0.000167372487991457	0.000160845042321849	0.000163397357864723	0.000155225674124346	0.000133403011832777	0.000155443764057945	0.000113536881244812	0.000116233540458919	0.000141631234010579	0.000159476941149341	0.000190065627425084	0.000227957659973174	0.000150260341066933	0.000165647559496758	0.000155066902246737	0.000193831932626954	9.13533015283008e-05	0.000154477416345759	0.00016999556949047	0.000115350075605189	0.000169503521893785	0.000227723194447575	7.82812797071341e-05	7.56607316587308e-05	9.59928850073633e-05	0.000121185526847153	0.00016822907416571
